"";"Q0_Ouv_point_noir";"Q0_Ouv_commentaires"
"2559";"Les grands carrefours, les rond-points, les grands boulevards";"Grande agressivité des taxi, bus et automobilistes qui n'hésitent pas à mettre les cyclistes en danger. Par ailleurs, trop de cyclistes ne respectent pas le code de la route, se mettant en danger et alimentant la colère des automobilistes et piétons."
"2560";"Rouler sur les routes avec les voitures. Traverser les rouds points";NA
"2561";"Le risque de vol dans la rue. 
La place de la nation 
Les pistes cyclables de barbès envahies de piétons";"Rendre ce mode de transport plus familial . Ne pas avoir peur de faire du vélo en famille"
"2562";"Quais de Seine au Pont Neuf rive droite";"Non"
"2563";"Bld magenta";NA
"2564";"Sur les gros axes où il y'a des voitures.";"Cest sur la bonne voie. Il faut poursuivre et tenir bon malgré les critiques des automobilistes qui ne veulent pas changer. Plus de vélos = plus d'amour !"
"2565";"LOrsqu'il n'y a pas de pistes cyclables en dehors des voies de voitures et que la circulation est dense";NA
"2566";"Un endroit qu'était le plus stressant pour moi à attraverser en vélo à Paris, est la Place du Maréchal de Lattre de Tassigny (Porte Dauphine), je me suis senti vraiment en danger.";NA
"2567";"les grands axes et carrefours (jaurès, avenue jules ferry (avant d'arriver place de la république), avenue de la république";"il faudrait plus de volonté politique"
"2568";"Piste cyclable de République, piste scooters....";"Nous nous mettons en danger chaque jour, à côtoyer les livreurs, taxis, VTC, bus.... qui pensent être les PROFFESSIONNELS de la route !!! J'ai entendu plusieurs fois des discours du type les vélos vous n'êtes personne, on va pas vous respecter!"
"2569";NA;"Manque cruel d'emplacements de parking"
"2570";"Avenue de la république (paris)";"Il faut respecter la distance de sécurité."
"2571";"Boulevard barbes";"La partage des trottoirs entre cyclistes et piétons n'est pas adapté et souvent dangereux, puisque les piétons ne respectent pas un simple marquage au sol et se retrouvent souvent sur la partie réservée aux cyclistes."
"2572";NA;"le questionnaire prend peu en compte les vélos libre service. Seule façon de pouvoir faire du vélo quand on n'a pas de stationnement dans l'habitat. C'est un rai plus de la politique parisienne."
"2573";"Grands boulevard
Concorde";NA
"2574";"Bastille";"très limitée et pas encouragée par la structure et la frequentation des routes"
"2575";"La Défense (vols et facilités de déplacement et pour se garer)";"Portières de voiture s’ouvrent régulièrement sans vérification"
"2576";"Les couloirs de bus : les bus hybrides sont plus larges et il n'y a plus la place. Les rues longues recalibrées où il n'y a plus la place pour la coexistence entre vélos et scooters et où les scooters nous empêchent de circuler car ils sont coincés là où nous on pourrait rouler : c'est ""très tentant"" de rouler sur les trottoirs élargis...";"La situation est très différente d'un arrondissement à l'autre et c'est souvent compliqué de faire sereinement de longues distances. Les voitures polluent beaucoup trop et on a souvent du mal à respirer. La qualité des revêtements est difficile pour les vieux vélos : notamment les pavés qui après un an sont devenus disjoints et qui nécessitent des resserrages de boulons réguliers. Je rêve des pistes et des règles de circulation qu'il y a aux Pays Bas..."
"2577";"Paris 8 et Paris 17 peu de pistes cyclables";"Mieux communiquer auprès des piétons et automobilistes sur les contre sens cyclables ; on est souvent agresssé car ces derniers pensent qu'on est en infraction"
"2578";"CENTR";NA
"2579";"RAS";"Ras"
"2580";"Les grands axes routiers : Bd Sébastopol / Rue de la Chapelle / Rue Lafayette / Rue de Rivoli (complète) / Boulevard Haussmann / Etc. HORS COULOIRS BUS !";"Ça monte, ça monte... Mais beaucoup de prblèmes d'incivilités venant des automobilistes + 2RM et d'irresponsabilité venant des piétons, mais aussi une éducation a faire chez les cyclistes concernant le non usage de PC à contresens, non usage des trottoirs, la prévenance vis à vis des piétons..."
"2581";"Les grands axes nord sud et est ouest";NA
"2582";"Porte de Clignancourt, Bastille";NA
"2583";"les places, les grands carrefours.";NA
"2584";"MENILMONTANT";"µ"
"2585";"Les grands carrefour aucun respect des sas velo et incivilité permanente des deux roues motorisés dangereux pour les cyclistes";"Faire appliquer le code de la route aux scooters et motos quand ils circulent et stationnent"
"2586";"Place de la bastille, Hotel de ville, place du chatelet";"Les couloirs réservés aux velos dans les rue à sens unique est parfois fantaisiste. Telle rue étroite en a un, telle autre bcp plus large n'en a pas."
"2587";"Boulevard Magenta";NA
"2588";"En général les grands carrefours et en particulier la place de la Bastille que je traverse tous les jours et qui est dangereuse.";"Beaucoup d'efforts ont été déployés ces dernières années, mais il reste encore du boulot, notamment dans le respect des vélos par les véhicules motorisés, et dans l'aménagement de certaines grands carrefours."
"2589";"voie rapide sur les quais de seine : attention à ne pas les prendre par inadvertance, la signalisation manque un peu pour prévenir qu'on approche d'une voie rapide";"Très satisfait des velibs, que j'utilise tout a long de l'année. Les pistes cyclables pourraient être plus faciles à identifier de loin, quelques fois elles changent de coté de la route, et certains se trompent et prennent des pistes à sens unique en sens interdit. Les voitures sont plutôt respectueuses des vélos."
"2590";"Place de la Bastille. Les pistes cyclables s'arrêtent avant le rond point. Qu'est-ce que cela signifie ? Que l'on soit poser pied à terre et rejoindre les piétons ? Que l'on doit pousser des coudes sur le rond point au péril de sa vie ? Sans oublier qu'en terme de rapport de force et de vitesse, il est très difficile de s'affirmer sur ce rond point. Imaginé deux minutes des enfants dessus. Inconcevable ? Des mamies ? Non ! Il n'y a que les coursiers, velotaffeurs, et inconscient qui ose prendre ce rond point !!";"Cela semble bien parti pour l'instant. Il y a des pistes cyclable, mais combien de fois voit-on des voitures ou scooters garé sur les pistes ? On se retrouve dans l'obligation de se déporter sur la voie de manière dangereuse ! Les pistes cyclables ne sont pas des places de parking (il faut sanctionner avec des amendes, que fait la police ?). Les pistes cyclables ne sont pas des voies rapides pour scooter pendant les bouchons non plus !! Ça suffit !! La police doit faire son boulot"
"2591";"traversée du centre de Paris";"Nous sommes dans la bonne voie mais le vélo à Paris aujourd'hui est toujours dangereux en particulier à cause des motards et de la circulation automobile"
"2592";"Bd magenta";"Trop d'encombrement, trop de pollution, 
Les pistes cyclables existantes sont trop souvent dangereuses pour les piétons, les trottoirs qui séparent voies de bus/cyclables et voies automobiles sont catastrophiques pour notre sécurité, ma préférence va pour des voies ouvertes avec un simple marquage de séparation voiture/bus/vélo. 
Aussi, il faudrait rapidement interdire la production de voiture essence /gasoil puis rapprocher les lieux d'activité des lieux d'habitation pour réduire les temps de transport"
"2593";"bastille";"il y a un manque certain  de piste cyclable sur Paris c'est dangereux et le trafic motorisé est vraiment trop important et la question de la pollution des voitures envers les cycliste n'est pas pausé dans le questionnaire n'est pas pausé, je porte un masque pour faire du vélo, la pollution lié au voiture est très importante et  est très négative envers les cycliste, pour conclure je pense qu'il faut être un peu fou pour faire du vélo à Paris entre lé sécurité réduite et la pollution"
"2594";"Circuler dans la voie de bus de manière générale";NA
"2595";"Quand la piste cyclable est aussi une voie de bus";"On se fait régulièrement couper la route par des piétons qui ne voient pas la piste cyclable.  C'est très dangereux"
"2596";"Les arrondissements chicos de l'ouest parisien 15, 16, 17, 8). Des grands boulevards partout, quasiment tous pavés, et pas l'ombre d'une piste cyclable. J'habite plutôt à l'est (5, 12, 13), et quand je vais là-bas ça me choque.";"Arrêter des faire les pistes cyclables comme des teubé. Celles du boulevards Magenta, sérieusement, à quoi ils pensaient les andouilles qui ont fait ça ? Idem sur Saint Jacques avant le panthéon, ya 10 fois la place de faire les choses bien et non, ont doit slalomer entre les câmions de livraison qui se garé sur les pointillés cyclables"
"2597";"Grand Boulevard";NA
"2598";"Traverser la place de la concorde est un véritable exploit, pavé plus circulation énorme !";NA
"2599";"Les boulevards";"De mieux en mieux, mais de la place à l'amélioration"
"2600";"Les ronds point type bastille";NA
"2601";"les grands axes où les voitures roulent vite";"A Paris les conditions de pratique du vélo sont tellement mauvaises qu'elles restreignent l'utilisation du vélo aux personnes très motivées, sportives et n'ayant pas peur de la circulation. Beaucoup beaucoup plus de gens feraient du vélo si les conditions (sécurité, vraies pistes cyclables) étaient meilleures."
"2602";"les taxis et les deux roues motorisés qui ne respectent pas les vélos dans les voient réservés aux transports en commun (pour les bus et les vélos).";"Le jour du ""Paris sans voitures"", un taxi me collait derrière dans la voie des bus alors que le boulevard était complètement dégagé."
"2603";"Tous les gros axes où les pistes cyclables ne sont pas assez sures et séparées clairement de la route. Même si il y a de plus en plus de pistes cyclables, elles ne sont pas conçues pour être faciles d'utilisation, adaptées pour un trafic plus important en vélo.";NA
"2604";"Bastille,";NA
"2605";"Opéra Madeleine saint Lazare ces quartiers touristiques   sont inaccessibles aux vélos";"Accélérer le projet vélo. Prolonger les pistes vers la banlieue"
"2606";"Boulevards Barbès et Magenta : piste cyclable sur le trottoir";"A mon sens il faut faire des itinéraires réservés aux seuls vélos : les espaces partagés sont une solution de compromis inefficace : on est soit menacé par les bus ou taxis sur la rue, ou gêné par les piétons en cas de piste sur le trottoir (piétons pas du tout attentifs à la présence d'une piste cyclable)"
"2607";"L'ensemble des rues et particulièrement les grands axes sont trop fréquentés par les véhicules motorisés pour pouvoir être agréables.";"Vive les villes sans voiture et sans scooter."
